Name	Chair	Day	DayLong	DayShort	DayTable	TimeBegin	TimeEnd	Room	Temas	Abstract1	Abstract2	Abstract3	Abstract4	Abstract5	Abstract6	Abstract7	Abstract8	Abstract9	Abstract10	NombreLargo
O1	Persona1	2	Jueves 19 de octubre	Jueves 19	Jueves	10301	13001	Aula M	Minería de Datos. Estadística Espacial. Estadísticas Oficiales	19	47	71	117	119	126	130	NA	NA	NA	Ecología y Medio Ambiente; Otras Aplicaciones; Economía; Estadísticas Oficiales; Enseñanza de la Estadística; Ciencias Exactas y Naturales
O2	Persona2	2	Jueves 19 de octubre	Jueves 19	Jueves	10301	13001	Aula N	Modelos de Regresión	6	68	82	85	120	134	186	NA	NA	NA	Estadísticas Oficiales; Economía; Ciencias Exactas y Naturales; Otras Ciencias de la Ingeniería y Arquitectura; Salud Humana; Otras Ciencias Económicas, Administración y Negocios
O3	Persona3	2	Jueves 19 de octubre	Jueves 19	Jueves	10301	13001	Aula Ñ	Educación y Enseñanza	14	95	102	111	174	175	177	NA	NA	NA	Enseñanza de la Estadística
O4	Persona4	3	Viernes 20 de octubre	Viernes 20	Viernes	10301	13001	Aula M	Diseño de Experimentos.Control de Procesos. Inferencia Estadística	7	23	74	103	110	171	189	NA	NA	NA	Otras Aplicaciones; Industria y Mejoramiento de la Calidad; Economía; Ciencias Exactas y Naturales
O5	Persona5	3	Viernes 20 de octubre	Viernes 20	Viernes	10301	13001	Aula N	Datos de Duración. Datos Categóricos. Datos Faltantes	38	61	67	93	121	150	NA	NA	NA	NA	Salud Humana; Educación, Ciencia y Cultura; Industria y Mejoramiento de la Calidad; Economía
O6	Persona6	3	Viernes 20 de octubre	Viernes 20	Viernes	10301	13001	Aula Ñ	Varios	55	73	92	129	156	164	173	NA	NA	NA	Otras Aplicaciones; Salud Humana; Economía
O7	Persona7	3	Viernes 20 de octubre	Viernes 20	Viernes	10301	13001	Aula O	Métodos Bayesianos. Teoría sobre Distribuciones de Probabilidad	32	37	39	113	123	135	153	NA	NA	NA	Economía; Ciencias Exactas y Naturales; Ecología y Medio Ambiente; Genética; Otras Ciencias Sociales y Humanas; Educación, Ciencia y Cultura; Otras Ciencias Económicas, Administración y Negocios
O8	Persona8	3	Viernes 20 de octubre	Viernes 20	Viernes	14001	16001	Aula M	Probabilidad y Procesos Estocásticos	101	109	127	176	184	NA	NA	NA	NA	NA	Economía; Otras Ciencias Económicas, Administración y Negocios; Economia
O9	Persona9	3	Viernes 20 de octubre	Viernes 20	Viernes	14001	16001	Aula N	Muestreo	41	78	143	144	145	148	NA	NA	NA	NA	Estadísticas Oficiales; Otras Aplicaciones; Enseñanza de la Estadística; Economía
O10	Persona10	3	Viernes 20 de octubre	Viernes 20	Viernes	14001	16001	Aula Ñ	Métodos Multivariados. Métodos No Paramétricos	10	76	132	151	162	183	NA	NA	NA	NA	Ecología y Medio Ambiente; Salud Humana; Ciencias Agropecuarias; Otras Aplicaciones; Otras Ciencias Sociales y Humanas
