Name	Chair	Day	DayLong	DayShort	DayTable	Room	TimeBegin	TimeEnd	Abstract1	Abstract2	Abstract3	Abstract4	Abstract5	Abstract6	Abstract7	Abstract8	Abstract9	Abstract10	Abstract11	Abstract12	Abstract13	Abstract14	Abstract15	Abstract16	Abstract17	Abstract18	Abstract19	Abstract20	Abstract21	Abstract22	Abstract23	Abstract24	Abstract25	Abstract26	Abstract27	Abstract28	NombreLargo
Comunicacion oral - Control de procesos	Chair1	1	1	1	1	1	10001	10011	46	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control de procesos
Comunicacion oral - Datos categóricos	Chair2	2	2	2	2	2	10002	10012	133	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Datos categóricos
Comunicacion oral - Datos de duración	Chair3	3	3	3	3	3	10003	10013	31	44	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Datos de duración
Comunicacion oral - Datos faltantes	Chair4	4	4	4	4	4	10004	10014	179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Datos faltantes
Comunicacion oral - Diseño de experimentos	Chair5	5	5	5	5	5	10005	10015	22	58	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Diseño de experimentos
Comunicacion oral - Estadística espacial	Chair6	6	6	6	6	6	10006	10016	155	167	156	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Estadística espacial
Comunicacion oral - Inferencia estadística	Chair7	7	7	7	7	7	10007	10017	27	83	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Inferencia estadística
Comunicacion oral - Métodos bayesianos	Chair8	8	8	8	8	8	10008	10018	183	164	159	94	19	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Métodos bayesianos
Comunicacion oral - Métodos multivariados	Chair9	9	9	9	9	9	10009	10019	109	162	62	185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Métodos multivariados
Comunicacion oral - Métodos no paramétricos	Chair10	10	10	10	10	10	10010	10020	128	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Métodos no paramétricos
Comunicacion oral - Minería de datos	Chair11	11	11	11	11	11	10011	10021	68	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Minería de datos
Comunicacion oral - Modelos de regresión	Chair12	12	12	12	12	12	10012	10022	23	142	100	188	127	17	177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Modelos de regresión
Comunicacion oral - Muestreo	Chair13	13	13	13	13	13	10013	10023	1	6	5	24	7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Muestreo
